PRECINCT,SHAPE_Area,SHAPE_Leng,WARD,DATA_ADMIN,WARD_PRECI,PERIMETER,OBJECTID,TIMOTHY M. CULLERTON,TOM CARAVETTE,BERNARD L. STONE,SHARON DENISE DIXON,DANIEL 'DANNY' SOLIS,LATASHA R. THOMAS,CHE 'RHYMEFEST' SMITH,MAURITA E. GAVIN,MICHELE SMITH,RAYMOND A. LOPEZ,JAMES CAPPLEMAN,HAL E. BASKIN,TIM EGAN,TONI L. FOULKES,MARY O'CONNOR,MARY ANNE 'MOLLY' PHELAN,CUAHUTEMOC MORFIN,JOHN ARENA,WILLIE B. COCHRAN,NICHOLAS SPOSATO,JOHN GARRIDO,DEBRA L. SILVERSTEIN,MICHAEL D. CHANDLER,BALLOTS CAST,REGISTERED VOTERS,DAVID H. MOORE,FREDDRENNA M. LYLE,RODERICK T. SAWYER,JOHN A. RICE,JOANN THOMPSON
19,3432573.20309,10771.6791346,37,2042833.58991,37019,5755.61145925,2801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1144384.16701,5393.88093015,37,923213.637685,37026,4064.17154178,2802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,466974.666001,2829.97558388,44,466977.012427,44041,2830.00910194,2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,291193.465126,2151.97501961,44,291196.955296,44008,2152.04642428,2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,530575.078949,2917.17583411,43,530567.668441,43053,2917.06073505,2805,,,,,,,,,95,,,,71,,,,,,,,,,,166,605,,,,,
41,1347033.78109,5414.12559793,30,1347035.20023,30041,5414.17263638,2806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1415174.36692,5038.76742248,31,1415178.08589,31025,5038.74963895,2807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1951072.58279,6840.58533274,30,1515447.22735,30021,6083.37529682,2808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1505111.85709,5903.31232125,30,1505111.86539,30005,5903.31209392,2809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,931950.000618,4313.31719144,46,932517.255076,46006,4315.0595823,2810,,,,,,,,,,,156,,,,,139,,,,,,,,295,871,,,,,
41,1601022.86607,6132.87865481,49,1601021.91543,49041,6132.87882269,2811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1901211.7662,7142.56932989,50,1901212.32954,50004,7142.56943573,2812,,,72,,,,,,,,,,,,,,,,,,,143,,216,623,,,,,
10,1501577.91231,6354.08834151,49,1501595.70962,49010,6354.07534513,2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,984239.750531,4361.20170892,49,984239.371116,49004,4361.19298612,2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2280184.02372,7396.57953793,45,2280185.4316,45002,7396.57922784,2815,,,,,,,,,,,,,,,,,,134,,,139,,,274,664,,,,,
13,1227200.17241,5155.98251735,40,1228787.31867,40013,5162.69826062,2816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1970296.20934,8487.21621467,18,1970298.77425,18003,8487.26963893,2817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3519045.80068,8758.88558399,50,3519028.37752,50028,8758.88544235,2818,,,71,,,,,,,,,,,,,,,,,,,170,,242,670,,,,,
32,897882.883214,5329.74157648,49,896298.970119,49032,5336.52213484,2819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3248699.10827,7568.00699682,41,3258995.40443,41053,7583.56826555,2820,,,,,,,,161,,,,,,,134,,,,,,,,,295,697,,,,,
11,3773498.4259,9333.28804569,18,3773498.42852,18011,9333.29156867,2821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2135298.55746,5754.56968049,13,2135298.58674,13021,5754.5658665,2822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2516545.02004,6551.73894091,18,2516544.93745,18048,6551.77895515,2823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,307733559.113,136289.884345,41,308526137.98,41027,134513.612297,2824,,,,,,,,24,,,,,,,31,,,,,,,,,55,353,,,,,
12,2192082.62578,6637.47243233,29,2192083.00941,29012,6637.47516135,2825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1760430.17805,5308.66488512,36,1760431.62834,36024,5308.66986337,2826,,,,,,,,,,,,,,,,,,,,60,,,,115,541,,,,55,
7,5304670.85515,12924.1973147,29,2897899.38769,29007,7591.41215155,2827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
